*Reference,*Manufacturer Part number,*QTY,*Original,Description,Purchase Link
R33,0805W8F470JT5E,1,Y,47Ω ±1% 125mW 0805 Thick Film Resistor,
R29,0805W8F1000T5E,1,Y,100Ω ±1% 125mW 0805 Thick Film Resistor,
"C10,C13,C14,C2,C20,C21,C22,C23,C24,C26,C4",CC0805KRX7R9BB104,11,Y,100nF ±10% 50V Ceramic Capacitor X7R 0805,
R44,0805W8F100JT5E,1,Y,10Ω ±1% 125mW 0805 Thick Film Resistor,
"R10,R25,R26,R4,R8,R9",0805W8F1002T5E,6,Y,10kΩ ±1% 125mW 0805 Thick Film Resistor,
R32,25121WF100MT4E,1,Y,10mΩ 1W 200V Thick Film Resistor ±1500ppm/℃ ±1% 2512 Chip Resistor - Surface Mount RoHS,
"C11,C12,C5",CL31A106KBHNNNE,3,Y,10uF ±10% 50V Ceramic Capacitor X5R 1206,
C6,GRM21BR61H106KE43L,1,Y,10uF ±10% 50V Ceramic Capacitor X5R 0805,
"C18,C19",CC0805JRNPO9BN120,2,Y,12pF ±5% 50V Ceramic Capacitor NP0 0805,
"R34,R38,R39",0805W8F1603T5E,3,Y,160kΩ ±1% 125mW 0805 Thick Film Resistor,
R35,0805W8F2003T5E,1,Y,200kΩ ±1% 125mW 0805 Thick Film Resistor,
"R15,R16,R3,R37,R41,R42,R5",0805W8F1001T5E,7,Y,1kΩ ±1% 125mW 0805 Thick Film Resistor,
"C25,C27,C29,C30",CL21B102KBCNNNC,4,Y,1nF ±10% 50V Ceramic Capacitor X7R 0805,
"C1,C15",CL21B105KBFNNNE,2,Y,1uF ±10% 50V Ceramic Capacitor X7R 0805,
"R36,R40",0805W8F2002T5E,2,Y,20kΩ ±1% 125mW 0805 Thick Film Resistor,
C31,CL21B224KBFNNNE,1,Y,220nF ±10% 50V Ceramic Capacitor X7R 0805,
"R11,R12,R17,R18",0805W8F220JT5E,4,Y,22Ω ±1% 125mW 0805 Thick Film Resistor,
R27,0805W8F2202T5E,1,Y,22kΩ ±1% 125mW 0805 Thick Film Resistor,
R28,0805W8J0202T5E,1,Y,2kΩ ±5% 125mW 0805 Thick Film Resistor,
R43,0805W8F3300T5E,1,Y,330Ω ±1% 125mW 0805 Thick Film Resistor,
"C7,C8",TCC1206COG331J102DT,2,Y,330pF ±5% 1kV Ceramic Capacitor C0G 1206,
"R30,R31",0805W8F470KT5E,2,Y,4.7Ω ±1% 125mW 0805 Thick Film Resistor,
"R23,R24,R6,R7",0805W8F4701T5E,4,Y,4.7kΩ ±1% 125mW 0805 Thick Film Resistor,
"C3,C9",189RV0006,2,Y,47uF ±20% 35V Aluminum Electrolytic Capacitors 2000hrs@105℃,
"R1,R2",0805W8F5101T5E,2,Y,5.1kΩ ±1% 125mW 0805 Thick Film Resistor,
U7,ADS1115IDGST,1,Y,I2C 2V~5.5V VSSOP-10-0.5mm Analog to Digital Converters (ADC) RoHS,
U2,AP22818BKCWT-7,1,Y,"1 Active Low 2A High Side Switch TSOT-23-5 Power Distribution Switches, Load Drivers RoHS",
J2,2.54-1*3P,1,Y,Pin Header 3 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,
J4,2.54-2*2P,1,Y,Pin Header 4 Position 2.54mm Pitch Dual Row Through Hole,
"D5,D6",ESD5Z3.3T1G,2,Y,14VC Clamp 11A Ipp ESD DIODE SOD-523,
U5,ESP32-S3-WROOM-1-N16R8,1,Y,"2.4GHz ESP32-S3R8 On-board PCB Antenna -103.5dBm SMD,25.5x18mm RF Transceiver Modules and Modems RoHS",
Y1,FC-135R 32.7680KA-A3,1,Y,Crystal 32.768kHz ±20ppm 12.5pF 50kΩ SMD3215-2P,
K1,HF49FD/005-1H12T,1,Y,"Power Relay 1 Form A: 1A (SPST-NO) 5V Coil SIP,5x20mm",
U8,INA240A2DR,1,Y,"1 5uV -4V~80V 2V/us 132dB 90uA 1.8mA 50V/V SOIC-8 Instrumentation, Op Amps, Buffer Amps RoHS",
U6,ISO1540DR,1,Y,50kV/us SOIC-8 Digital Isolators RoHS,
"U3,U4",LD1117S33TR,2,Y,"3.3V Positive Fixed SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",
D3,KT-0805G,1,Y,Emerald Green 525nm LED Indication - Discrete 2.6V~3.1V 0805,
D4,KT-0805W,1,Y,White LED Indication - Discrete 2.6V~3.2V 0805,
"D1,D11,D2",NCD0805R1,3,Y,Red 630nm LED Indication - Discrete 1.6V~2.6V 0805,
D12,LL4148-GS08,1,Y,Diode Independent 75V 300mA Surface Mount MiniMELF,
U10,LMV321LILT,1,Y,"70mA 1 7mV 600V/ms 75dB 27nA 120uA 1.3MHz Rail-to-rail output SOT-23-5 Instrumentation, Op Amps, Buffer Amps RoHS",
Q1,MMBT2222A 1P,1,Y,Bipolar (BJT) Transistor NPN 40V 600mA 300MHz 300mW Surface Mount SOT-23,
PS1,RFM-0505S,1,Y,Isolated Module DC DC Converter 1 Output 5V 200mA 5V Input,
D10,SMBJ36A,1,Y,58.1VC Clamp 10.4A@10/1000us Ipp TVS DIODE DO-214AA(SMB),
"SW1,SW2",TS-1088-AR02016,2,Y,Tactile Switch SPST 160gf 2mm SMD (SMT) Tab 4mm x 3mm Surface Mount,
J1,TYPE-C-31-M-12,1,Y,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,
U1,USBLC6-2SC6,1,Y,15VC Clamp ESD DIODE SOT-23-6,
